brand_id,cpg_id,barcode,category,categoryCode,name,topBrand,brandCode
601ac115be37ce2ead437551,601ac114be37ce2ead437550,511111019862,Baking,BAKING,test brand @1612366101024,False,
601c5460be37ce2ead43755f,5332f5fbe4b03c9a25efd0ba,511111519928,Beverages,BEVERAGES,Starbucks,False,STARBUCKS
601ac142be37ce2ead43755d,601ac142be37ce2ead437559,511111819905,Baking,BAKING,test brand @1612366146176,False,TEST BRANDCODE @1612366146176
601ac142be37ce2ead43755a,601ac142be37ce2ead437559,511111519874,Baking,BAKING,test brand @1612366146051,False,TEST BRANDCODE @1612366146051
601ac142be37ce2ead43755e,5332fa12e4b03c9a25efd1e7,511111319917,Candy & Sweets,CANDY_AND_SWEETS,test brand @1612366146827,False,TEST BRANDCODE @1612366146827
601ac142be37ce2ead43755b,601ac142be37ce2ead437559,511111719885,Baking,BAKING,test brand @1612366146091,False,TEST BRANDCODE @1612366146091
601ac142be37ce2ead43755c,601ac142be37ce2ead437559,511111219897,Baking,BAKING,test brand @1612366146133,False,TEST BRANDCODE @1612366146133
5cdad0f5166eb33eb7ce0faa,559c2234e4b06aca36af13c6,511111104810,Condiments & Sauces,,J.L. Kraft,True,J.L. KRAFT
5ab15636e4b0be0a89bb0b07,5a734034e4b0d58f376be874,511111504412,Canned Goods & Soups,,Campbell's Home Style,False,CAMPBELLS HOME STYLE
5c408e8bcd244a1fdb47aee7,59ba6f1ce4b092b29c167346,511111504788,Baking,,test,True,TEST
5f4bf556be37ce0b4491554d,5f4bf556be37ce0b44915549,511111516354,Baking,BAKING,test brand @1598813526777,True,TEST BRANDCODE @1598813526777
57c08106e4b0718ff5fcb02c,5332f5f2e4b03c9a25efd0aa,511111102540,,,MorningStar,True,
588ba07be4b02187f85cdadd,559c2234e4b06aca36af13c6,511111201076,Baking,,Calumet,False,CALUMET
5d6413156d5f3b23d1bc790a,5d5d4fd16d5f3b23d1bc7905,511111205012,Magazines,,Entertainment Weekly,True,511111205012
585a9611e4b03e62d1ce0e74,5332f5fbe4b03c9a25efd0ba,511111801801,Breakfast & Cereal,,AUNT JEMIMA Syrup,False,AUNT JEMIMA SYRUP
57e5820ce4b0ac389136a311,5332f709e4b03c9a25efd0f1,511111202233,Beer Wine Spirits,,Molson Canadian,False,MOLSON
5fb6adb8be37ce522e165cb8,5d9b4f591dda2c6225a284aa,511111817376,Health & Wellness,HEALTHY_AND_WELLNESS,Lotrimin®,False,LOTRIMIN
5f358338be37ce443bf9d55a,5f358338be37ce443bf9d557,511111515319,Baking,BAKING,test brand @1597342520277,True,TEST BRANDCODE @1597342520277
